Player,Team,ATT,CMP,YDS,TDS,INTS,ATT,YDS,TDS,FL,FPTS
Aaron Rodgers,GB ,608.9,395.9,"4,438.10",35.4,8.3,60.7,340.2,2.5,3.9,343.9
,high,662,439,"4,594.00",38,6.8,65.9,432,3.5,3.9,411.3
,low,580,374.7,"4,287.90",33,10,54.5,287.3,1.6,3.9,327.9
Tom Brady,NE ,601.8,393,"4,697.40",35.4,8.3,35.5,85.3,1.3,2.8,323.9
,high,615,403,"4,760.00",38.5,8,44,151.4,1.9,2.8,393
,low,582,385,"4,639.00",33,9.1,29,50,1,2.8,320.5
Drew Brees,NO ,647.1,439.3,"4,927.60",33.3,14.4,22.8,45.2,1.3,3.8,306
,high,688,485,"5,130.00",37.4,13,28.1,87.7,1.6,3.8,387.8
,low,610,417,"4,697.00",31,16,17,17,1,3.8,310.2
Matt Ryan,ATL ,559.1,376.6,"4,655.90",32.7,11,34.8,102.2,0.8,2.9,304.2
,high,601.7,397.6,"4,992.00",37.3,10,37.9,115.5,1.4,2.9,358.1
,low,540,364,"4,459.90",30,12.1,33,82,0,2.9,301.6
Russell Wilson,SEA ,536.5,343.2,"4,102.80",26.9,11.8,81.2,378.6,2.1,2.8,293.4
,high,570,370,"4,250.00",29.6,10,85,418.9,3,2.8,362.8
,low,511,328,"3,976.00",26,16,75.3,343.1,1,2.8,283.2
Andrew Luck,IND ,553.7,340.5,"4,040.80",29.2,15.4,62.9,306.1,2.1,3.1,284.7
,high,581,357,"4,075.20",31.5,14,68.9,351,3,3.1,357.1
,low,523,324,"3,956.00",26,19,54,270,1.7,3.1,274.3
Cam Newton,CAR ,528.5,305.6,"3,794.90",24.3,13.5,84.7,408.3,4.8,4.2,283.3
,high,556,312,"4,097.00",26,12,92.3,527.9,5.5,4.2,335.7
,low,511,296,"3,623.00",23,17,67,316,4,4.2,292
Jameis Winston,TB ,573.3,357.1,"4,287.90",28.2,16.1,50,182.6,2.5,3.9,277.8
,high,612,386,"4,566.00",30,14.5,53,212.9,3,3.9,368.4
,low,547.8,341.6,"4,099.50",26.9,18,48,164,2,3.9,267.8
Marcus Mariota,TEN ,516.5,319.7,"3,797.40",26.5,12.4,58.2,330.6,2.1,3.6,271.2
,high,533.9,330,"3,892.20",27,11,63.2,359,2.7,3.6,342.4
,low,492.4,304.4,"3,604.80",26,14.9,51,301.1,1.8,3.6,266.4
Kirk Cousins,WAS ,595.7,385.9,"4,530.30",24.9,13.3,33.4,89.9,2.5,4.4,269.3
,high,618.9,398,"4,727.80",26.4,12,39.5,147.5,4,4.4,327.7
,low,566,365,"4,217.00",24,16,30.6,56.1,1.5,4.4,275
Dak Prescott,DAL ,495.9,319.2,"3,744.30",24.7,9,59.1,276.8,3.1,3.9,269
,high,513,335.2,"3,880.50",27.4,8,68,315,4,3.9,328
,low,485,305.8,"3,674.90",23,10,54.5,216.7,2.2,3.9,268
Matthew Stafford,DET ,588.5,380.7,"4,180.40",25.2,12.4,37.1,158.5,1.8,2.8,264.2
,high,608.8,394,"4,377.10",28.1,11,41,197,2.2,2.8,341.7
,low,555,360,"4,002.00",22,14.8,29.7,117.1,1,2.8,261.1
Ben Roethlisberger,PIT ,551.8,360.1,"4,232.50",29.5,14,22.6,42.5,0.8,2.2,263.5
,high,589,387,"4,409.00",32.1,11.2,25.6,60.8,1.4,2.2,330.9
,low,532,342,"4,025.40",27.2,17,19,26,0,2.2,259.1
Tyrod Taylor,BUF ,451.7,280.8,"3,147.50",19.5,8.9,92.5,553.3,4.4,3.2,261.5
,high,476.2,302.4,"3,403.80",21,7,103,596.4,5.1,3.2,316
,low,432.3,254.6,"3,036.00",18.1,11,81,501,3.9,3.2,265.8
Andy Dalton,CIN ,541.4,346.9,"3,995.30",24.1,11.1,48.6,164.3,2.5,3.7,257.7
,high,559.8,357,"4,103.20",27.9,9,52,196.7,3.3,3.7,331.7
,low,518,338,"3,906.00",21,12.2,43.1,137.7,1.5,3.7,252.9
Philip Rivers,LAC ,584.8,361.1,"4,308.40",30.5,15.7,16.8,40.5,0.2,5.5,257.2
,high,613.8,365,"4,425.00",31.2,14,19,59.5,0.5,5.5,344.2
,low,564,359.3,"4,159.00",29.2,18,15,27,0,5.5,252.9
Derek Carr,OAK ,591,361.9,"4,082.90",27.7,11.1,35.3,86.7,0.6,3.8,256.8
,high,618,376,"4,227.80",28,9.5,39,101.3,1,3.8,325.4
,low,565,354,"3,966.00",26.7,13,31,72.1,0,3.8,259.8
Blake Bortles,JAC ,564.7,329.1,"3,659.30",22.8,15.4,55.8,315.4,2.2,4.4,242.5
,high,595.8,343,"3,850.00",25.6,13.6,65,389,4,4.4,319
,low,539.6,315,"3,527.00",21,17,50,257.6,1,4.4,237.7
Eli Manning,NYG ,592.1,367.7,"4,156.30",27.2,15.2,18.9,30.4,0.2,4.4,240.3
,high,615,390,"4,272.00",29,14,21,48.7,0.8,4.4,319.5
,low,562,348.5,"4,039.70",24,16,14,20,0,4.4,233.3
Carson Wentz,PHI ,582.9,354,"3,861.50",22.3,14.1,46.9,171.4,1.9,3.6,236.8
,high,617,378,"4,267.50",23.7,12.1,50,192.5,2,3.6,316.3
,low,546,335,"3,631.00",21.6,16,41.2,150,1.7,3.6,226.4
Carson Palmer,ARI ,581.9,359.2,"4,139.70",25.2,15.3,16.2,34.9,0.3,4.4,232.6
,high,636,379,"4,343.40",27,12,24,51.1,0.8,4.4,316.6
,low,503,323,"3,591.00",21,18,4,11,0,4.4,241.8
Joe Flacco,BAL ,622.4,389.8,"4,078.30",22,15.5,23.3,51.4,1.6,3,229
,high,688,443,"4,299.80",22.4,13,26.6,64.5,2.6,3,309.8
,low,561,342,"3,731.00",21.8,19,18,38,1,3,228.4
Alex Smith,KC ,500.8,325,"3,514.50",19.7,10,55.2,207,2.6,4.5,226.6
,high,542,344,"3,720.00",22,7,63,246,3.6,4.5,308.6
,low,472,306,"3,337.00",16.8,13.5,43.5,137.7,2,4.5,211.8
Sam Bradford,MIN ,535.4,355.1,"3,738.10",21.5,9.9,21.2,46.5,0.3,4,213.8
,high,572,398,"3,975.80",24.7,8,26.1,56,0.7,4,282.6
,low,462,308,"3,280.00",19,12.2,16,34,0,4,216.8
Jay Cutler,MIA ,461.1,289.3,"3,327.40",21.7,14.2,32.2,130.1,1,3.9,203.2
,high,516.5,310,"3,636.00",23.4,13.1,35,151,1.8,3.9,266.3
,low,404,257,"3,030.00",21,15,26,93.1,0.4,3.9,203.1
Brian Hoyer,SF ,461.7,281,"3,162.90",17.5,11.5,27.7,69.8,0.5,4.6,174
,high,534.2,328,"3,764.50",19.3,7,35,94,1.2,4.6,214.4
,low,359,215,"2,550.00",15,17.1,22,38,0,4.6,183.3
Jared Goff,LAR ,506.8,291.3,"3,203.90",16.7,15.9,23.6,67.3,0.9,3.6,168.2
,high,570.3,325.1,"3,624.00",20.6,11,29,103.4,1.9,3.6,236.8
,low,415,236,"2,571.00",11,19,17,35,0,3.6,162.5
Mike Glennon,CHI ,389.7,241.2,"2,773.30",16.4,11.4,25.6,94.4,0.7,2.6,162
,high,445.5,288.6,"3,361.50",24.5,9.3,39.3,124.8,1,2.6,223.9
,low,317,194,"2,206.00",12,14,18,64,0,2.6,138
Trevor Siemian,DEN ,420.9,252,"2,856.10",15.4,11.1,22.1,66.1,0.5,2.9,157.3
,high,519.4,308,"3,306.00",19,7.3,31,97.3,1,2.9,236.3
,low,336,204.9,"2,366.30",11.8,14.3,11,53,0,2.9,135.9
Josh McCown,NYJ ,382.9,221.9,"2,471.10",12.7,12.2,29.2,104.4,0.9,3.4,134.1
,high,525.6,303,"3,333.20",18.1,7.2,35.7,160,1.3,3.4,190
,low,270,163,"1,782.00",8.4,22,19,65,0.3,3.4,102.9
Deshaun Watson,HOU ,288.9,170.6,"1,868.00",10.3,8.4,35.8,148,1.1,1.1,118.2
,high,409,238,"2,634.00",15,5.8,57,245,2,1.1,204.2
,low,210.4,129,"1,206.00",7.1,12,19,76,0.4,1.1,76.2
Tom Savage,HOU ,263.5,153.8,"1,652.80",9.3,6.9,16.8,60.6,0.4,1.8,94.5
,high,333,191,"2,060.90",11.8,4,25.6,126.2,1.1,1.8,135.2
,low,148,87,935,6,10,9,11,0,1.8,68.8
Cody Kessler,CLE ,249.2,150.2,"1,661.50",8.5,7,16.8,43.9,0.5,0.7,92.4
,high,493.5,294.7,"3,271.10",17.9,3,32,77,1,0.7,178.8
,low,113,67,768,4,15.4,5,8,0,0.7,39.9
DeShone Kizer,CLE ,240.5,141.7,"1,568.50",8.1,8,23.3,91.9,0.8,1.2,90.5
,high,357.1,213.9,"2,300.00",12,4,35,144,1,1.2,162.3
,low,104,60,760,5,11,10,45,0.3,1.2,59
Paxton Lynch,DEN ,150.2,89.4,"1,017.90",5.6,3.6,13.9,46.5,0.4,0.8,61.3
,high,245.8,150.1,"1,644.30",9.5,1.1,21.1,87.3,1,0.8,116
,low,40.2,23.7,249,1.7,5.9,3.6,14.4,0,0.8,15.2
Mitch Trubisky,CHI ,139.4,84.3,961.7,5.6,4.8,10.5,39,0.2,1.3,53.7
,high,217,130,"1,480.00",9,1.9,13,60,0.4,1.3,106
,low,67.6,41.2,468.1,2.9,8,5.8,21,0,1.3,29.8
Brock Osweiler,CLE ,108.3,65,702,3.5,3,6.8,26.8,0.3,1.1,38.1
,high,209,126,"1,278.00",6,0,11,46,1,1.1,73.7
,low,0,0,0,0,6,0,0,0,1.1,0
Bryce Petty,NYJ ,84.8,49.3,548,3,3.3,5.5,16.6,0,0,29.1
,high,134,78,886,5,0.9,10,26,0.1,0,66.9
,low,31.1,17.7,206.7,1,7,2.1,8.3,0,0,11.3
Christian Hackenberg,NYJ ,93.9,54.2,591.6,2.5,3.8,4.9,17.5,0.1,0.3,27.7
,high,260.3,153.9,"1,647.80",7.4,0,10.4,41.7,0.4,0.3,78.4
,low,0,0,0,0,10.2,0,0,0,0.3,0
Sean Mannion,LAR ,62.8,36.3,402.1,2.5,1.3,3.9,9.7,0,0,24.5
,high,173,102,"1,156.00",8,0,11,25,0,0,92.3
,low,5.5,3.4,37.6,0.2,4,0.2,0.7,0,0,2
Matt Barkley,SF ,59.6,35.5,416.7,2.5,2.1,2.5,4.8,0,0,22.9
,high,146,88,"1,052.00",8,0,6,13,0,0,85.3
,low,4,3,29,0,7,0,0,0,0,1.2
Matt Moore,MIA ,49.7,30.4,346.4,2,1.3,2.6,6.7,0,0,19.8
,high,100,60,670,4,0,6,19,0,0,47.7
,low,3,2,23,0,3,0,0,0,0,0.9
Patrick Mahomes,KC ,48.3,29.2,321.4,1.6,1.2,4.4,16.6,0.1,0,19.2
,high,60,36,420,2.1,1,6,23,0.3,0,30.3
,low,37,22,246,1,1.5,3,9,0,0,15.7
Teddy Bridgewater,MIN ,38.3,24.4,271.6,1.8,1.2,3.5,10.2,0.1,0,17.2
,high,55,36,396,3,0.4,5,13.9,0.1,0,30.6
,low,19.5,12.6,141.2,0.7,2,2.2,8,0,0,8.4
Nathan Peterman,BUF ,32,21,237,2,1,2,4,0,0,15.9
,high,32,21,237,2,1,2,4,0,0,20.3
,low,32,21,237,2,1,2,4,0,0,20.3
Brandon Weeden,HOU ,33,19.8,222.1,1.3,1.3,3.2,13.6,0.1,0,13.7
,high,33,19.8,222.1,1.3,1.3,3.2,13.6,0.1,0,13.5
,low,33,19.8,222.1,1.3,1.3,3.2,13.6,0.1,0,13.5
Blaine Gabbert,ARI ,39.5,23.5,270,1,1,2,4,0,0,13.2
,high,73,43,496,2,0,3,5,0,0,31.1
,low,6,4,44,0,2,1,3,0,0,2.3
Kevin Hogan,CLE ,31.3,17.7,194.4,1.1,0.8,3,19.4,0.1,0,13.1
,high,31.3,17.7,194.4,1.1,0.8,3,19.4,0.1,0,12.5
,low,31.3,17.7,194.4,1.1,0.8,3,19.4,0.1,0,12.5
Scott Tolzien,IND ,35.8,21,234.8,1.2,1,1.6,3.8,0,0,12.6
,high,50,29,343,2.2,0,4,8,0.1,0,23.8
,low,10,7,68,0,1.7,0,0,0,0,2.9
Landry Jones,PIT ,31.8,18.7,212.6,1.2,0.9,1.9,5.7,0,0,12.5
,high,48,29,330,2,0,4,12.3,0.1,0,24.5
,low,2,1,13,0,1.7,0,0,0,0,0.5
Drew Stanton,ARI ,31.8,18.7,210,1.4,1,1.4,4,0,0,12.4
,high,42.1,24.1,284.4,2,0.7,2.1,6.6,0.1,0,20.3
,low,19.3,10.1,100.6,0.5,1.3,0,0,0,0,4.9
C.J. Beathard,SF ,34.5,20.3,203.1,1.1,1.3,1.8,6.8,0.1,0,11.2
,high,34.5,20.3,203.1,1.1,1.3,1.8,6.8,0.1,0,10.4
,low,34.5,20.3,203.1,1.1,1.3,1.8,6.8,0.1,0,10.4
Chad Henne,JAC ,26.7,15.4,177.9,0.9,0.7,1.6,6.2,0,0,10.2
,high,40,22,262,1.5,0.2,2.7,11,0.1,0,16.8
,low,5.6,3.4,37.9,0.2,1,0.2,0.7,0,0,2.1
Derek Anderson,CAR ,24.4,15.1,175.2,0.9,0.6,2.3,4.2,0,0,9.9
,high,50,33,375,2,0,5,13.3,0.2,0,27.4
,low,2,1,14,0,1,0,-0.4,0,0,0.6
Matt Cassel,TEN ,25.5,14.4,166.6,0.7,0.7,1.8,5.5,0,0,8.6
,high,43,24,286,1,0,3,9.4,0,0,18.9
,low,3,2,21,0,1,0,1,0,0,0.9
Nick Foles,PHI ,21.5,12,139.5,0.6,0.2,1,3.3,0,0,7.9
,high,35,20,231,1,0,3,11,0,0,16.7
,low,6,3,32,0,1,0,0,0,0,1.3
AJ McCarron,CIN ,18.6,11.3,133.3,0.7,0.4,1.5,3.5,0,0,7.7
,high,50,30,363,2,0,5,10,0.1,0,26.2
,low,4,2,24,0,1,0,0,0,0,1.1
Case Keenum,MIN ,17.6,11,120.1,0.7,0.3,1.3,3.8,0,0,7.7
,high,35,22,239,2,0,3,7,0.1,0,18
,low,0,0,0,0,1,0,0,0,0,0
Brett Hundley,GB ,20.4,11.6,136.8,0.7,0.5,1.1,3,0,0,7.7
,high,28,16,193,1,0,2.2,7.3,0,0,14.1
,low,6,3.7,41.2,0.3,1,0,0,0,0,2.7
Geno Smith,NYG ,19.5,11.2,130.4,0.7,0.6,1.7,5.8,0,0,7.5
,high,37.9,21.4,247.9,1.3,0,3.5,15.4,0.1,0,14.8
,low,1,1,8,0,1,0,0,0,0,0.3
Jimmy Garoppolo,NE ,16.7,10.1,119.5,0.7,0.1,0.9,1.5,0,0,7.4
,high,38,24,256,1,0,2.5,3,0,0,17
,low,2,1,13,0,0.4,0,0,0,0,0.5
Ryan Mallett,BAL ,21.4,11.7,131.4,0.6,0.7,1.1,3.3,0,0,6.8
,high,61,34,395,2,0,3,9.6,0.1,0,26.4
,low,2,1,10,0,2,0,0,0,0,0.4
Trevone Boykin,SEA ,17.7,10.6,124.6,0.4,0.3,1.8,6,0,0,6.7
,high,35,20,237,1,0,4,18,0,0,16.7
,low,5.5,3.4,37.7,0,1,0.2,0.7,0,0,2.3
Kellen Clemens,LAC ,18,10.7,121.7,0.7,0.7,1.5,4,0,0,6.7
,high,25.3,14.6,167.2,1,0.2,2.3,7.4,0,0,11.4
,low,5.6,3.4,37.9,0.3,1,0.2,0.7,0,0,2.3
Colt McCoy,WAS ,15.3,9.2,106.3,0.6,0.2,1.2,2.7,0,0,6.6
,high,30,18,207,1.1,0,2.4,5.1,0.1,0,14.9
,low,1,0,5,0,0.6,0,0,0,0,0.2
Jake Rudock,DET ,18.1,10.9,123.8,0.7,0.6,1.1,1.4,0,0,6.5
,high,30,18,205,1,0.2,2,2,0,0,13.5
,low,6.2,3.8,42.5,0.3,1,0.2,0.8,0,0,2.5
Connor Cook,OAK ,19,10.9,123.1,0.5,0.5,1.7,5.4,0,0,6.4
,high,45,26,302,1,0,4,14,0.1,0,19.5
,low,2,1,11,0,1,0,0,0,0,0.4
T.J. Yates,BUF ,16.8,10.5,114.5,0.4,0.4,0.9,2,0,0,5.6
,high,50,31,341,1,0,3,6,0,0,20.7
,low,0,0,0,0,1,0,0,0,0,0
Ryan Fitzpatrick,TB ,16.4,9.8,112.8,0.3,0.4,1.3,5.2,0,0,5.6
,high,35.9,20.4,237,1.3,0,4.3,20,0.2,0,14.8
,low,5,3.6,40.8,0,1,0,0,0,0,1.7
Cardale Jones,LAC ,17.4,10.3,109.2,0.5,0.7,2.2,4.4,0,0,5.4
,high,17.4,10.3,109.2,0.5,0.7,2.2,4.4,0,0,5.3
,low,17.4,10.3,109.2,0.5,0.7,2.2,4.4,0,0,5.3
Kellen Moore,DAL ,15.9,9.7,112.9,0.3,0.2,0.9,1.8,0,0,5.4
,high,26.3,16.1,189.4,1.2,0,2.5,5.4,0,0,11.2
,low,2,1,15,0,0.8,0,0,0,0,0.6
Matt Schaub,ATL ,12.3,7.6,83.5,0.4,0.4,0.9,2.5,0,0,4.6
,high,25,16,169,1,0,2.3,6.6,0.1,0,11.9
,low,1,1,7,0,1,0,0,0,0,0.3
Chase Daniel,NO ,10.5,6.4,76.3,0.2,0.3,1,1.6,0,0,3.5
,high,15,9,107,0.6,0,1.7,3,0,0,5.3
,low,6.2,3.7,43.3,0,1,0.2,0.5,0,0,2.6
Mark Sanchez,CHI ,0.5,0.5,3,0,0,0,0,0,0,0.1
,high,1,1,6,0,0,0,0,0,0,0.2
,low,0,0,0,0,0,0,0,0,0,0
Jacoby Brissett,NE ,0,0,0,0,0,0,0,0,0,0
,high,0,0,0,0,0,0,0,0,0,0
,low,0,0,0,0,0,0,0,0,0,0
Josh Johnson,NYG ,0,0,0,0,0,0,0,0,0,0
,high,0,0,0,0,0,0,0,0,0,0
,low,0,0,0,0,0,0,0,0,0,0
Alex Tanney,TEN ,0,0,0,0,0,0,0,0,0,0
,high,0,0,0,0,0,0,0,0,0,0
,low,0,0,0,0,0,0,0,0,0,0
David Fales,MIA ,0,0,0,0,0,0,0,0,0,0
,high,0,0,0,0,0,0,0,0,0,0
,low,0,0,0,0,0,0,0,0,0,0
Joe Webb,CAR ,0,0,0,0,0,0,0,0,0,0
,high,0,0,0,0,0,0,0,0,0,0
,low,0,0,0,0,0,0,0,0,0,0
Matt McGloin,PHI ,0,0,0,0,0,0,0,0,0,0
,high,0,0,0,0,0,0,0,0,0,0
,low,0,0,0,0,0,0,0,0,0,0
Matt Simms,ATL ,0,0,0,0,0,0,0,0,0,0
,high,0,0,0,0,0,0,0,0,0,0
,low,0,0,0,0,0,0,0,0,0,0